Elapsed,client,server
0.0,0.15552099533437,0
0.1,0,2.0817843866171
0.2,0.31104199066874,3.271375464684
0.3,2.3328149300156,9.5167286245353
0.4,14.541213063764,15.390334572491
0.5,24.494556765163,26.542750929368
0.6,21.617418351477,15.539033457249
0.7,11.04199066874,8.3271375464684
0.8,7.2317262830482,4.2379182156134
0.9,2.7216174183515,2.453531598513
1.0,2.954898911353,1.9330855018587
1.1,2.1772939346812,2.0817843866171
1.2,1.7884914463453,2.0817843866171
1.3,1.9440124416796,0.89219330855019
1.4,0.93312597200622,0.96654275092937
1.5,1.0886469673406,0.66914498141264
1.6,0.23328149300156,0.22304832713755
1.7,0.077760497667185,0.074349442379182
1.8,0.31104199066874,0.29739776951673
1.9,0.077760497667185,0.074349442379182
2.0,0.23328149300156,0.44609665427509
2.1,0.5443234836703,0.52044609665428
2.2,0.38880248833593,0.22304832713755
2.3,0.23328149300156,0.22304832713755
2.4,0.31104199066874,0.14869888475836
2.5,0.23328149300156,0.44609665427509
2.6+,2.0217729393468,1.3382899628253
