Accum,vanilla,gfw,fewerdbs
0.13,0.18808777429467,0,0
0.14,1.3166144200627,0,0
0.15,2.5705329153605,0.062735257214555,0.12547051442911
0.16,3.2601880877743,0.37641154328733,0.81555834378921
0.17,3.5109717868339,2.5094102885822,2.5721455457967
0.18,3.7617554858934,3.2622333751568,3.3249686323714
0.19,4.5141065830721,3.5759096612296,3.5759096612296
0.20,4.7021943573668,3.8268506900878,3.8895859473024
0.21,4.8275862068966,4.2659974905897,4.642409033877
0.22,4.9529780564263,4.7051442910916,4.8933500627353
0.23,5.0156739811912,4.8306148055207,4.8933500627353
0.24,5.0783699059561,4.8933500627353,4.8933500627353
0.25,5.0783699059561,5.0188205771644,4.8933500627353
0.26,5.141065830721,5.0188205771644,4.9560853199498
0.27,5.141065830721,5.0815558343789,5.0188205771644
0.28,5.8307210031348,5.0815558343789,5.0815558343789
0.29,6.269592476489,5.0815558343789,5.0815558343789
0.30,7.0219435736677,5.0815558343789,5.0815558343789
0.31,9.5924764890282,5.2697616060226,5.5207026348808
0.32,12.351097178683,5.8971141781681,6.7126725219573
0.33,13.981191222571,6.6499372647428,7.2145545796738
0.34,14.858934169279,7.4027603513174,8.7202007528231
0.35,15.924764890282,8.0928481806775,11.355081555834
0.36,17.680250783699,11.041405269762,13.299874529486
0.37,18.432601880878,13.425345043915,14.868255959849
0.38,19.310344827586,14.993726474279,16.122961104141
0.39,19.937304075235,16.373902132999,17.252195734003
0.40,21.191222570533,17.377666248432,18.757841907152
0.41,22.633228840125,18.632371392723,19.69887076537
0.42,24.764890282132,19.636135508156,20.38895859473
0.43,27.335423197492,20.38895859473,21.141781681305
0.44,29.905956112853,21.392722710163,22.772898368883
0.45,33.040752351097,23.462986198243,24.592220828105
0.46,35.611285266458,25.407779171895,26.411543287327
0.47,37.868338557994,27.478042659975,28.481806775408
0.48,40,29.234629861982,30.552070263488
0.49,41.880877742947,31.869510664994,32.998745294856
0.50,43.636363636364,34.065244667503,35.94730238394
0.51,45.76802507837,37.515683814304,38.519447929737
0.52,48.401253918495,39.585947302384,40.715181932246
0.53,50.407523510972,42.597239648683,43.350062735257
0.54,52.476489028213,45.357590966123,46.173149309912
0.55,54.420062695925,47.553324968632,48.996235884567
0.56,57.617554858934,49.874529485571,51.505646173149
0.57,59.435736677116,51.819322459222,54.077791718946
0.58,60.940438871473,54.26599749059,56.712672521957
0.59,62.194357366771,56.210790464241,59.22208281054
0.60,63.636363636364,58.218318695107,61.543287327478
0.61,64.952978056426,60.163111668758,63.613550815558
0.62,66.457680250784,61.794228356336,65.43287327478
0.63,67.398119122257,63.550815558344,66.24843161857
0.64,68.401253918495,65.43287327478,67.879548306148
0.65,68.777429467085,67.126725219573,69.134253450439
0.66,69.717868338558,68.632371392723,70.075282308657
0.67,70.407523510972,69.949811794228,71.455457967378
0.68,71.28526645768,70.765370138018,72.647427854454
0.69,71.912225705329,71.76913425345,73.525721455458
0.70,73.166144200627,72.271016311167,74.027603513174
0.71,73.918495297806,72.961104140527,74.404015056462
0.72,74.858934169279,73.839397741531,75.031367628607
0.73,75.799373040752,74.404015056462,75.658720200753
0.74,76.865203761755,74.905897114178,76.537013801757
0.75,77.617554858934,75.846925972396,77.540777917189
0.76,78.369905956113,76.787954830615,78.858218318695
0.77,79.059561128527,77.854454203262,79.736511919699
0.78,79.561128526646,78.732747804266,80.30112923463
0.79,80.438871473354,79.861982434128,81.116687578419
0.80,80.626959247649,80.112923462986,81.493099121706
0.8,82.69592476489,83.75156838143,85.319949811794
0.9,86.081504702194,86.323713927227,87.641154328733
1.0,88.84012539185,88.01756587202,90.0878293601
1.1,91.097178683386,90.77791718946,92.032622333752
1.2,92.915360501567,92.220828105395,93.601003764115
1.3,94.23197492163,93.601003764115,94.918444165621
1.4,94.733542319749,94.604767879548,95.545796737767
1.5,95.109717868339,95.483061480552,96.298619824341
1.6,95.673981191223,95.796737766625,96.675031367629
1.7,96.050156739812,96.173149309912,96.925972396487
1.8,96.238244514107,96.361355081556,96.988707653701
1.9,96.363636363636,96.549560853199,97.23964868256
2.0,96.739811912226,96.800501882058,97.553324968632
2.1,97.17868338558,96.925972396487,97.92973651192
2.2,97.366771159875,97.365119196989,98.055207026349
2.3,97.742946708464,97.678795483061,98.368883312422
2.4,97.993730407524,97.741530740276,98.431618569636
2.5,98.181818181818,97.92973651192,98.61982434128
2.6,98.244514106583,98.055207026349,98.61982434128
2.6+,99.623824451411,99.498117942284,99.686323713927
>>>,100,100,100

