Elapsed,nofooter,minus10
0.2,4.3542435424354,3.3948339483395
0.3,1.1070110701107,2.0664206642066
0.4,0.44280442804428,0
0.5,5.5350553505535,0
0.6,10.922509225092,1.1808118081181
0.7,18.745387453875,7.970479704797
0.8,18.007380073801,14.612546125461
0.9,11.070110701107,22.066420664207
1.0,7.5276752767528,12.177121771218
1.1,5.0922509225092,11.070110701107
1.2,3.3948339483395,6.789667896679
1.3,2.140221402214,3.2472324723247
1.4,1.8450184501845,3.0258302583026
1.5,1.549815498155,2.3616236162362
1.6,0.95940959409594,2.0664206642066
1.7,1.0332103321033,1.1808118081181
1.8,0.51660516605166,1.1070110701107
1.9,0.3690036900369,1.0332103321033
2.0,0.29520295202952,0.51660516605166
2.1,0.29520295202952,0.66420664206642
2.2,0.07380073800738,0.07380073800738
2.3,0,0.22140221402214
2.4,0.07380073800738,0.22140221402214
2.5,0.29520295202952,0.14760147601476
2.6,0.22140221402214,0.14760147601476
2.7,0.22140221402214,0.14760147601476
2.8,0.07380073800738,0
2.9,0.22140221402214,0.22140221402214
3.0,0.51660516605166,0
3.1,0,0.22140221402214
3.2,0.07380073800738,0.29520295202952
3.3,0,0.07380073800738
3.4,0,0.07380073800738
3.5,0.14760147601476,0
3.6,0,0.22140221402214
3.7,0.14760147601476,0.14760147601476
3.8,0.07380073800738,0
4.0,0,0.07380073800738
4.4,0,0.07380073800738
4.7,0.07380073800738,0
5.0,0.07380073800738,0
5.2,0.07380073800738,0.07380073800738
5.3,0,0.07380073800738
5.5,0.07380073800738,0.07380073800738
5.7,0.14760147601476,0
5.8,0.22140221402214,0.14760147601476
5.9,0.07380073800738,0
6.1,0.07380073800738,0
6.2,0.07380073800738,0
6.3,0,0.07380073800738
6.6,0.07380073800738,0
6.9,0.07380073800738,0
7.2,0.07380073800738,0.07380073800738
7.4,0,0.07380073800738
7.9,0.07380073800738,0
10.7,0.07380073800738,0
11.7,0.07380073800738,0
12.2,0,0.07380073800738
15.6,0,0.07380073800738
15.9,0.29520295202952,0.14760147601476
16.0,0.29520295202952,0.07380073800738
16.2,0.07380073800738,0
16.4,0.07380073800738,0
17.1,0.07380073800738,0  
20.7,0.07380073800738,0
20.9,0.07380073800738,0
21.6,0.07380073800738,0
24.0,0.07380073800738,0

31.1,0,0.07380073800738
31.5,0.07380073800738,0
36.9,0.07380073800738,0
37.7,0,0.07380073800738
41.8,0.07380073800738,0
