Accum,vanilla,gfw
0.13,0.18808777429467,0
0.14,1.3166144200627,0
0.15,2.5705329153605,0.062735257214555
0.16,3.2601880877743,0.37641154328733
0.17,3.5109717868339,2.5094102885822
0.18,3.7617554858934,3.2622333751568
0.19,4.5141065830721,3.5759096612296
0.20,4.7021943573668,3.8268506900878
0.21,4.8275862068966,4.2659974905897
0.22,4.9529780564263,4.7051442910916
0.23,5.0156739811912,4.8306148055207
0.24,5.0783699059561,4.8933500627353
0.25,5.0783699059561,5.0188205771644
0.26,5.141065830721,5.0188205771644
0.27,5.141065830721,5.0815558343789
0.28,5.8307210031348,5.0815558343789
0.29,6.269592476489,5.0815558343789
0.30,7.0219435736677,5.0815558343789
0.31,9.5924764890282,5.2697616060226
0.32,12.351097178683,5.8971141781681
0.33,13.981191222571,6.6499372647428
0.34,14.858934169279,7.4027603513174
0.35,15.924764890282,8.0928481806775
0.36,17.680250783699,11.041405269762
0.37,18.432601880878,13.425345043915
0.38,19.310344827586,14.993726474279
0.39,19.937304075235,16.373902132999
0.40,21.191222570533,17.377666248432
0.41,22.633228840125,18.632371392723
0.42,24.764890282132,19.636135508156
0.43,27.335423197492,20.38895859473
0.44,29.905956112853,21.392722710163
0.45,33.040752351097,23.462986198243
0.46,35.611285266458,25.407779171895
0.47,37.868338557994,27.478042659975
0.48,40,29.234629861982
0.49,41.880877742947,31.869510664994
0.50,43.636363636364,34.065244667503
0.51,45.76802507837,37.515683814304
0.52,48.401253918495,39.585947302384
0.53,50.407523510972,42.597239648683
0.54,52.476489028213,45.357590966123
0.55,54.420062695925,47.553324968632
0.56,57.617554858934,49.874529485571
0.57,59.435736677116,51.819322459222
0.58,60.940438871473,54.26599749059
0.59,62.194357366771,56.210790464241
0.60,63.636363636364,58.218318695107
0.61,64.952978056426,60.163111668758
0.62,66.457680250784,61.794228356336
0.63,67.398119122257,63.550815558344
0.64,68.401253918495,65.43287327478
0.65,68.777429467085,67.126725219573
0.66,69.717868338558,68.632371392723
0.67,70.407523510972,69.949811794228
0.68,71.28526645768,70.765370138018
0.69,71.912225705329,71.76913425345
0.70,73.166144200627,72.271016311167
0.71,73.918495297806,72.961104140527
0.72,74.858934169279,73.839397741531
0.73,75.799373040752,74.404015056462
0.74,76.865203761755,74.905897114178
0.75,77.617554858934,75.846925972396
0.76,78.369905956113,76.787954830615
0.77,79.059561128527,77.854454203262
0.78,79.561128526646,78.732747804266
0.79,80.438871473354,79.861982434128
0.80,80.626959247649,80.112923462986
0.8,82.69592476489,83.75156838143
0.9,86.081504702194,86.323713927227
1.0,88.84012539185,88.01756587202
1.1,91.097178683386,90.77791718946
1.2,92.915360501567,92.220828105395
1.3,94.23197492163,93.601003764115
1.4,94.733542319749,94.604767879548
1.5,95.109717868339,95.483061480552
1.6,95.673981191223,95.796737766625
1.7,96.050156739812,96.173149309912
1.8,96.238244514107,96.361355081556
1.9,96.363636363636,96.549560853199
2.0,96.739811912226,96.800501882058
2.1,97.17868338558,96.925972396487
2.2,97.366771159875,97.365119196989
2.3,97.742946708464,97.678795483061
2.4,97.993730407524,97.741530740276
2.5,98.181818181818,97.92973651192
2.6,98.244514106583,98.055207026349
2.6+,99.623824451411,99.498117942284
>>>,100,100
