Elapsed,vanilla7,sfence,cfence,sfence2,cfence2,sfence3,cfence3
0.0,0,0,2,0,2,632,2
0.1,13,0,0,0,0,0,0
0.2,52,0,0,8,0,18,549
0.3,109,0,0,35,3,56,37
0.4,195,0,0,17,1,75,28
0.5,361,34,1,126,53,89,133
0.6,196,39,3,208,158,177,140
0.7,125,7,4,199,212,121,161
0.8,100,112,36,103,129,43,54
0.9,34,173,160,84,94,35,49
1.0,31,374,254,50,74,14,21
1.1,25,201,280,71,56,15,15
1.2,23,133,139,73,67,19,17
1.3,17,82,115,99,87,20,17
1.4,15,33,59,60,78,13,19
1.5,9,35,47,60,62,8,6
1.6,6,25,49,41,52,3,8
1.7,0,19,30,18,38,4,2
1.8,2,21,30,13,19,2,4
1.9,2,10,16,10,12,3,4
2.0,0,5,8,6,7,1,2
2.1,4,6,6,8,11,0,1
2.2,3,4,6,4,8,2,1
2.3,5,3,4,8,8,4,2
2.4,4,1,3,2,4,0,2
2.5,4,2,1,4,2,2,3
2.6+,16,30,33,41,49,7,9
>>>,2,2,0,4,0,2,0
