Accum,vanilla,sfence2,cfence2,ssuper,csuper
0.0,0,0,0.13123359580052,0,43.897637795276
0.1,2.0062695924765,44.178728760227,0.45931758530184,0,45.209973753281
0.2,5.0783699059561,51.415984896161,46.062992125984,7.125890736342,45.866141732283
0.3,15.172413793103,52.54877281309,46.325459317585,8.7885985748219,49.015748031496
0.4,31.28526645768,60.855884203902,55.643044619423,10.688836104513,49.146981627297
0.5,53.228840125392,69.855254877281,63.123359580052,22.565320665083,54.068241469816
0.6,68.777429467085,79.106356198867,74.671916010499,43.942992874109,60.236220472441
0.7,77.30407523511,84.078036500944,81.102362204724,62.589073634204,74.737532808399
0.8,82.69592476489,88.420390182505,85.564304461942,76.009501187648,82.808398950131
0.9,86.081504702194,90.560100692259,89.566929133858,84.916864608076,89.304461942257
1.0,88.84012539185,92.385147891756,91.338582677165,87.648456057007,91.994750656168
1.1,91.097178683386,93.769666456891,92.979002624672,90.380047505938,93.503937007874
1.2,92.915360501567,94.90245437382,94.356955380577,92.280285035629,95.275590551181
1.3,94.23197492163,95.783511642542,95.01312335958,93.824228028504,96.194225721785
1.4,94.733542319749,96.349905601007,95.931758530184,94.893111638955,96.916010498688
1.5,95.109717868339,96.727501573317,96.391076115486,95.961995249406,97.309711286089
1.6,95.673981191223,97.105097545626,96.850393700787,96.793349168646,97.834645669291
1.7,96.050156739812,97.482693517936,97.112860892388,97.50593824228,98.293963254593
1.8,96.238244514107,97.608558842039,97.50656167979,97.743467933492,98.425196850394
1.9,96.363636363636,97.797356828194,97.637795275591,97.743467933492,98.490813648294
2.0,96.739811912226,97.923222152297,97.769028871391,97.862232779097,98.556430446194
2.1,97.17868338558,98.174952800504,97.900262467192,98.099762470309,98.556430446194
2.2,97.366771159875,98.42668344871,98.228346456693,98.456057007126,98.753280839895
2.3,97.742946708464,98.678414096916,98.490813648294,98.574821852732,98.818897637795
2.4,97.993730407524,98.867212083071,98.753280839895,98.693586698337,98.950131233596
2.5,98.181818181818,98.930144745123,98.884514435695,99.049881235154,99.081364829396
2.6+,99.623824451411,99.685336689742,100,100,100
>>>,100,100,100,100,100
