Elapsed,JP,JoC,Vanilla,JP382,JP5
0.2,,,13,,
0.3,,51,83,80,70
0.4,,38,6,19,28
0.5,,9,,1,10
0.6,,2,2,2,5
0.7,,4,14,,
0.8,,8,57,3,
0.9,,21,56,41,16
1.0,67,28,119,41,41
1.1,25,67,130,79,51
1.2,6,84,113,111,64
1.3,5,91,66,123,156
1.4,1,125,58,93,117
1.5,,75,30,58,87
1.6,12,41,17,42,52
1.7,12,30,12,36,40
1.8,41,26,9,21,30
1.9,30,26,7,14,14
2.0,87,19,7,11,13
2.1,88,8,11,9,7
2.2,65,11,4,6,6
2.3,140,6,1,7,6
2.4,52,8,8,7,5
2.5,44,14,1,4,7
2.6,34,2,2,5,5
2.7,23,2,1,4,3
2.8,23,5,,2,1
2.9,11,3,2,4,
3.0,7,3,1,3,2
3.1,5,1,2,2,2
3.2,5,,2,,2
3.3,4,2,4,2,
3.4,4,3,1,2,2
3.5,4,3,1,7,3
3.6,4,4,,,5
3.7,3,5,2,,
3.8,3,3,2,2,
3.9,,2,,1,4
4.0,3,,1,,2
4.1,6,3,,,
4.2,,1,,,
4.3,5,3,,1,
4.4,2,1,,,
4.5,5,2,,,
4.6,5,,,,
4.7,1,,1,,
4.8,4,,1,1,
5.1,,3,,,
5.3,1,1,,1,
5.4,1,,,,
5.5,1,1,,,1
5.6,2,2,2,,
5.8,,,,2,
5.9,,,,1,3
6.0,,,1,,
6.1,,1,,,
6.2,,1,,,
6.4,1,,,,
6.5,2,,,,
6.7,1,,,,
7.1,1,,,,
7.3,1,,,,
7.5,1,,,,
10.7,,,,1,
11.0,,2,,,
11.6,2,,,,
11.9,1,,,,
13.7,,1,,,
