Elapsed,vanilla,vanilla5,akismet,sitemaps,importer
wp-cron.php,0.0626959248,0,0,0,0.0629326621
301-redirected-pages,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
apple-touch-icon-precomposed.png,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
apple-touch-icon.png,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
checkout,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
comments,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
getting-started-with-oik-plugins,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
home-2,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
hover-selectors-oik-external-link-warning-jquery-plugin,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
index.php,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
latest,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
mad-mimi-landing,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
new-home,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
oik-installation,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
oik-weightcountry-shipping-basic-user-guide,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
oik_hook-sitemap.xml,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
oik_parsed_source-sitemap4.xml,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
oik_themeversion,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
old,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
pages-plugin,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
premium-plugins,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
privacy-policy,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
purchase-confirmation,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
request-an-api-key,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
sitemap_index.xml,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
tag.lp,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
test,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
thankyou,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
wordpress,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
wp,0.1253918495,0.1255177608,0.1255492781,0.1259445844,0.1258653241
,0.2507836991,0.2510355215,0.2510985562,0.2518891688,0.2517306482
blog,0.2507836991,0.2510355215,0.2510985562,0.2518891688,0.2517306482
home,0.2507836991,0.2510355215,0.2510985562,0.2518891688,0.2517306482
oik-shortcodes,0.2507836991,0.2510355215,0.2510985562,0.2518891688,0.2517306482
about-oik-plugins-lazy-smart-shortcodes,0.3761755486,0.3765532823,0.3766478343,0.3778337531,0.3775959723
archived-pages,0.5015673981,0.5020710431,0.5021971124,0.5037783375,0.5034612964
contact,0.5015673981,0.5020710431,0.5021971124,0.5037783375,0.5034612964
oik-faq,0.5015673981,0.5020710431,0.5021971124,0.5037783375,0.5034612964
wordpress-themes-oik-plugins,0.5015673981,0.5020710431,0.5021971124,0.5037783375,0.5034612964
author,0.6269592476,0.6275888038,0.6277463905,0.6297229219,0.6293266205
oik-clone,0.6269592476,0.6275888038,0.6277463905,0.6297229219,0.6293266205
oik_file,0.6269592476,0.6275888038,0.6277463905,0.6297229219,0.6293266205
2011,0.7523510972,0.7531065646,0.7532956685,0.7556675063,0.7551919446
oik-themes,0.7523510972,0.7531065646,0.7532956685,0.7556675063,0.7551919446
oik_premiumversion,0.7523510972,0.7531065646,0.7532956685,0.7556675063,0.7551919446
tutorials,0.7523510972,0.7531065646,0.7532956685,0.7556675063,0.7551919446
wp-content,0.7523510972,0.7531065646,0.7532956685,0.7556675063,0.7551919446
 ,0.7523510972,0.7656583407,0.7532956685,0.3778337531,0.3775959723
2012,0.8777429467,0.8786243253,0.8788449466,0.8816120907,0.8810572687
2013,0.8777429467,0.8786243253,0.8788449466,0.8816120907,0.8810572687
support,0.8777429467,0.8786243253,0.8788449466,0.8816120907,0.8810572687
downloads,1.0031347962,1.0041420861,1.0043942247,1.0075566751,1.0069225928
2015,1.1285266458,1.1296598469,1.1299435028,1.1335012594,1.1327879169
shortcodes,1.8808777429,1.8827664114,1.8832391714,1.8891687657,1.8879798615
examples,2.131661442,2.133801933,2.1343377276,2.1410579345,2.1397105098
2014,2.2570532915,2.2593196937,2.2598870056,2.2670025189,2.2655758339
oik,2.3824451411,2.3848374545,2.3854362837,2.3929471033,2.391441158
oik_pluginversion,5.7680250784,5.7738169951,5.7752667922,5.7934508816,5.7898049087
apis,6.5203761755,6.5269235597,6.5285624608,6.5491183879,6.5449968534
oik_api,7.0219435737,7.0289946027,7.0307595731,7.0528967254,7.0484581498
oik_hook,7.7742946708,7.7821011673,7.7840552417,7.8085642317,7.8036500944
shortcode_example,7.8996865204,7.8825153759,7.9096045198,7.9345088161,7.9295154185
oik-plugins,8.1504702194,8.1586544496,8.160703076,8.1863979849,8.1812460667
oik_shortcodes,11.4106583072,11.4095644534,11.3622096673,11.4609571788,11.4537444934
wordpress-plugins-from-oik-plugins,18.5579937304,18.5640768169,18.5812931576,18.6397984887,18.6280679673
