Elapsed,vanilla,vanilla02,vanilla03,vanilla-essence,vanilla7,vanilla71,vanilla72
0.1,0,0,0,0,0.96225018504811,1.1127596439169,2.0029673590504
0.2,2.1577380952381,0,0,0.71764414748825,3.8490007401925,4.080118694362,2.7448071216617
0.3,3.2738095238095,4.673590504451,4.8183839881394,4.2563721851027,8.0680977054034,9.7181008902077,9.0504451038576
0.4,0.9672619047619,0.66765578635015,0.51890289103039,0.71764414748825,14.433752775722,16.839762611276,16.46884272997
0.5,2.9761904761905,1.6320474777448,0.88954781319496,1.8312298935907,26.720947446336,25.66765578635,25.445103857567
0.6,8.8541666666667,9.4213649851632,10.600444773907,9.6263301163078,14.507772020725,14.614243323442,13.278931750742
0.7,10.119047619048,8.6795252225519,8.8213491475167,9.2056421677803,9.2524056254626,8.4569732937685,8.3827893175074
0.8,17.03869047619,14.985163204748,16.160118606375,16.060381093789,7.4019245003701,5.4154302670623,3.9317507418398
0.9,15.997023809524,13.946587537092,15.492957746479,15.144766146993,2.5166543301258,2.8189910979228,2.8189910979228
1.0,12.574404761905,12.982195845697,12.305411415864,12.620638455828,2.2945965951147,1.7804154302671,2.0029673590504
1.1,7.5892857142857,7.7151335311573,8.3024462564863,7.8693392724573,1.8504811250925,2.2255192878338,2.2255192878338
1.2,4.8363095238095,6.5281899109792,5.4855448480356,5.617421430339,1.7024426350851,1.4836795252226,2.3738872403561
1.3,2.4553571428571,4.3026706231454,4.299481097109,3.6872061370948,1.2583271650629,1.2611275964392,2.0029673590504
1.4,1.7857142857143,3.5608308605341,1.8532246108228,2.4003959415986,1.1102886750555,0.89020771513353,1.6320474777448
1.5,2.0833333333333,2.6706231454006,2.2238695329874,2.3261568918585,0.66617320503331,0.51928783382789,0.51928783382789
1.6,1.6369047619048,1.8545994065282,2.3721275018532,1.9549616431576,0.44411547002221,0.37091988130564,0.51928783382789
1.7,1.264880952381,1.1127596439169,0.74128984432913,1.0393466963623,0,0.074183976261128,0.29673590504451
1.8,0.74404761904762,0.89020771513353,1.1119347664937,0.91561494679535,0.1480384900074,0.22255192878338,0.14836795252226
1.9,0.37202380952381,0.74183976261128,0.59303187546331,0.56916604800792,0.1480384900074,0.074183976261128,0.51928783382789
2.0,0.52083333333333,0.29673590504451,0.22238695329874,0.34644889878743,0,0.074183976261128,0.22255192878338
2.1,0.14880952380952,0.22255192878338,0.51890289103039,0.29695619896065,0.2960769800148,0.37091988130564,0.44510385756677
2.2,0.44642857142857,0.37091988130564,0.074128984432913,0.29695619896065,0.2220577350111,0.29673590504451,0.22255192878338
2.3,0.14880952380952,0.22255192878338,0.22238695329874,0.1979707993071,0.3700962250185,0.22255192878338,0.29673590504451
2.4,0,0.22255192878338,0.14825796886583,0.12373174956694,0.2960769800148,0.14836795252226,0.14836795252226
2.5,0.14880952380952,0.074183976261128,0,0.074239049740163,0.2960769800148,0.37091988130564,0.44510385756677
2.6+,1.860119047619,2.2255192878338,2.2238695329874,2.103439742638,1.1843079200592,0.89020771513353,1.8545994065282
