Accum,vanilla5,cf7,ai1seo,yoastseo,jetpack,nextgen,woocommerce,wordfence,analytics
0.40,19.919668633112,20.890840652447,21.455457967378,16.813602015113,17.126725219573,9.6977329974811,5.5485498108449,6.1712846347607,16.260162601626
0.41,21.174846240743,21.957340025094,22.521957340025,17.947103274559,17.816813048933,10.894206549118,6.7465321563682,6.8639798488665,17.385866166354
0.42,22.354713191917,23.212045169385,24.090338770389,19.332493702771,18.506900878294,12.216624685139,7.061790668348,8.5012594458438,18.574108818011
0.43,23.572235471319,24.905897114178,26.097867001255,20.591939546599,20.012547051443,13.035264483627,8.890290037831,10.012594458438,19.387116948093
0.44,25.003137944019,26.976160602258,28.042659974906,21.725440806045,21.455457967378,13.979848866499,11.538461538462,11.209068010076,20.825515947467
0.45,26.973766788001,29.109159347553,30.238393977415,22.607052896725,22.961104140527,14.92443324937,13.177805800757,12.594458438287,21.701063164478
0.46,29.01970628844,31.618569636136,33.249686323714,24.748110831234,25.094102885822,15.869017632242,14.37578814628,13.916876574307,22.889305816135
0.47,31.053094012803,34.504391468005,36.260978670013,26.952141057935,27.101631116688,16.813602015113,15.321563682219,15.36523929471,24.828017510944
0.48,33.463035019455,36.700125470514,39.460476787955,28.463476070529,29.548306148055,17.821158690176,16.267339218159,16.183879093199,27.204502814259
0.49,36.299736412702,39.648682559598,41.907151819322,31.297229219144,32.120451693852,18.765743073048,18.032786885246,17.443324937028,29.080675422139
0.50,38.948161164805,42.409033877039,44.479297365119,34.256926952141,34.44165621079,20.214105793451,18.915510718789,18.198992443325,32.520325203252
0.51,41.684448349441,44.730238393977,46.863237139272,36.964735516373,37.515683814304,22.35516372796,19.987389659521,19.710327455919,35.397123202001
0.52,44.496046190536,47.616060225847,49.435382685069,39.231738035264,39.209535759097,24.433249370277,21.185372005044,21.284634760705,38.27392120075
0.53,47.54612777708,50.941028858218,51.944792973651,41.183879093199,41.468005018821,26.385390428212,22.635561160151,22.481108312343,40.900562851782
0.54,49.817999246893,53.450439146801,53.826850690088,43.324937027708,45.04391468005,27.959697732997,24.022698612863,24.433249370277,43.96497811132
0.55,52.504079327225,55.457967377666,55.520702634881,45.151133501259,47.867001254705,30.478589420655,25.662042875158,26.76322418136,46.216385240775
0.56,54.600225931969,57.465495608532,58.281053952321,47.732997481108,50.439146800502,31.863979848866,27.931904161412,28.52644836272,48.717948717949
0.57,56.734027864943,60.414052697616,60.915934755332,50,53.262233375157,33.942065491184,30.517023959647,31.801007556675,50.969355847405
0.58,58.252792770177,62.923462986198,63.174404015056,51.889168765743,55.520702634881,35.642317380353,33.228247162673,34.571788413098,52.595372107567
0.59,59.922178988327,64.617314930991,64.868255959849,53.589420654912,57.528230865747,37.657430730479,36.002522068096,36.649874055416,54.846779237023
0.60,61.779841847621,65.746549560853,66.24843161857,56.108312342569,60.664993726474,39.294710327456,39.092055485498,39.04282115869,57.160725453408
0.61,63.850884900213,67.252195734003,67.377666248432,58.375314861461,63.550815558344,41.561712846348,40.731399747793,41.68765743073,59.78736710444
0.62,65.733651311661,68.757841907152,68.31869510665,60.51637279597,65.621079046424,43.073047858942,43.316519546028,43.450881612091,61.788617886179
0.63,67.315175097276,69.69887076537,69.134253450439,61.83879093199,67.063989962359,44.773299748111,45.271122320303,46.410579345088,63.352095059412
0.64,68.620559809213,70.451693851945,69.824341279799,63.035264483627,68.255959849435,46.662468513854,48.738965952081,48.110831234257,65.040650406504
0.65,69.398769925945,71.141781681305,70.953575909661,65.050377833753,69.259723964868,47.858942065491,50.882723833544,50.503778337531,66.729205753596
0.66,70.553533324965,72.020075282309,71.76913425345,65.869017632242,70.639899623588,49.55919395466,53.341740226986,52.959697732997,68.167604752971
0.67,71.632986067529,72.710163111669,72.521957340025,67.065491183879,71.643663739021,50.692695214106,54.981084489281,55.100755667506,69.355847404628
0.68,72.724990586168,73.462986198243,72.647427854454,68.261964735516,72.396486825596,52.2040302267,57.124842370744,56.675062972292,70.168855534709
0.69,73.84209865696,73.839397741531,73.337515683814,68.828715365239,73.525721455458,53.400503778338,59.016393442623,59.382871536524,71.169480925579
0.70,74.871344295218,74.529485570891,74.466750313676,69.521410579345,74.65495608532,55.226700251889,60.907944514502,61.272040302267,71.544715447155
0.71,75.599347307644,75.533249686324,75.595984943538,69.836272040302,75.470514429109,57.178841309824,62.547288776797,62.468513853904,72.107567229518
0.72,76.352453872223,76.599749058971,77.352572145546,70.088161209068,76.160602258469,58.627204030227,64.312736443884,64.168765743073,72.670419011882
0.73,77.055353332497,77.979924717691,78.356336260979,70.969773299748,76.787954830615,59.949622166247,65.636822194199,65.428211586902,73.608505315822
0.74,77.946529433915,78.356336260979,79.360100376412,72.35516372796,78.042659974906,60.642317380353,66.582597730139,66.057934508816,74.546591619762
0.75,78.925567967867,79.171894604768,80.614805520703,72.921914357683,79.485570890841,61.586901763224,67.65447667087,67.065491183879,75.984990619137
0.76,79.603363875988,80.30112923463,81.430363864492,73.803526448363,80.112923462986,62.405541561713,68.663303909206,67.947103274559,76.67292057536
0.77,80.557298857788,81.242158092848,82.434127979925,74.55919395466,80.928481806775,63.476070528967,69.356872635561,68.891687657431,77.485928705441
0.78,81.272750094138,82.308657465496,83.06148055207,75.566750629723,81.493099121706,64.546599496222,70.050441361917,69.773299748111,78.048780487805
0.79,81.91289067403,82.747804265997,83.500627352572,76.574307304786,81.806775407779,65.176322418136,70.870113493064,70.843828715365,79.549718574109
0.80,82.251788628091,82.936010037641,83.75156838143,76.889168765743,82.183186951067,65.428211586902,71.24842370744,71.095717884131,80.112570356473
